Number of cards left | Relative frequency
-----------------------------------------
                  52 |              2.60%
                  51 |              0.60%
                  50 |              0.40%
                  49 |              3.40%
                  48 |              2.40%
                  47 |              1.80%
                  46 |              3.40%
                  45 |              2.20%
                  44 |              2.20%
                  43 |              1.80%
                  42 |              2.60%
                  41 |              1.20%
                  40 |              1.60%
                  39 |              3.40%
                  38 |              3.20%
                  37 |              1.40%
                  36 |              2.40%
                  35 |              1.20%
                  34 |              1.00%
                  33 |              1.40%
                  32 |              2.20%
                  31 |              1.20%
                  30 |              1.20%
                  29 |              0.80%
                  28 |              1.20%
                  27 |              1.40%
                  26 |              1.60%
                  25 |              1.20%
                  24 |              1.60%
                  23 |              1.20%
                  22 |              1.40%
                  21 |              1.40%
                  20 |              1.00%
                  19 |              0.80%
                  18 |              0.60%
                  17 |              2.00%
                  16 |              0.60%
                  15 |              1.40%
                  14 |              0.60%
                  13 |              0.80%
                  12 |              1.40%
                  11 |              0.20%
                  10 |              1.00%
                   9 |              1.60%
                   8 |              1.40%
                   6 |              1.80%
                   5 |              1.00%
                   4 |              0.20%
                   3 |              0.60%
                   0 |             26.40%
